[000:10:17;366] THERE'S A REAL EFFORT BY THE
[000:10:17;967] ADMINISTRATION TO TURN THE
[000:10:18;534] TEMPERATURE DOWN HERE.
[000:10:21;370] NIKKI HALEY MADE IT CLEAR,
[000:10:21;971] THERE'S A LOT MORE STILL TO BE
[000:10:22;605] DONE DIPLOMATICALLY.
[000:10:23;539] >> JON KARL WITH US AGAIN
[000:10:24;073] TONIGHT.
[000:10:24;573] JON, THANK YOU.
[000:10:26;709] >>> NEXT, TO A STUNNING PUBLIC
[000:10:29;378] ADMISSION FROM FACEBOOK TONIGHT.
[000:10:30;012] A VIDEO MESSAGE RELEASED LATE
[000:10:36;085] TODAY, MARK ZUCKERBERG
[000:10:36;585] ACKNOWLEDGING RUSSIAN AGENTS
[000:10:37;186] DID, IN FACT, BUY THOUSANDS OF
[000:10:37;820] ADS DURING THE ELECTION,
[000:10:38;387] ATTACKING HILLARY CLINTON, OR
[000:10:41;223] PRAISING DONALD TRUMP.
[000:10:41;691] TONIGHT, FACEBOOK SAYS IT WILL
[000:10:42;325] NOW TURN THOSE ADS OVER TO
[000:10:43;826] CONGRESS.
[000:10:44;427] HERE'S ABC'S CHIEF INVESTIGATIVE
[000:10:45;361] CORRESPONDENT BRIAN ROSS.
[000:10:47;496] >> Reporter: AFTER MONTHS OF
[000:10:50;099] STONEWALLING CONGRESS, TODAY
[000:10:50;700] FACEBOOK GAVE IN.
[000:10:51;634] ITS FOUNDER, MARK ZUCKERBERG,
[000:10:53;369] AGREEING TO TURN OVER MORE THAN
[000:10:56;372] 3,000 RUSSIAN-LINKED POLITICAL
[000:10:57;373] ADS THAT RAN DURING LAST YEAR'S
[000:11:00;476] ELECTION CAMPAIGN.
[000:11:01;377] >> I DON'T WANT ANYONE TO USE
[000:11:04;647] OUR TOOLS TO UNDERMINE
[000:11:05;381] DEMOCRACY.
[000:11:06;182] THAT'S NOT WHAT WE STAND FOR.
[000:11:08;451] >> Reporter: RUSSIAN COMPANIES
[000:11:09;318] SPENT MORE THAN $100,000 ON THE
[000:11:11;387] ADS, MANY OF THEM PRAISING
[000:11:11;954] DONALD TRUMP OR ATTACKING
[000:11:12;955] HILLARY CLINTON.
[000:11:16;592] MILLIONS OF AMERICANS SAW THEM,
[000:11:17;360] AND JUST THIS WEEK, CLINTON SAID
[000:11:18;661] FACEBOOK HAS TO OWN UP TO THE
[000:11:20;396] PROBLEM.
[000:11:20;796] >> I DON'T THINK ANYBODY CAN
[000:11:25;368] WITH A STRAIGHT FACE SAY THAT
[000:11:28;037] THE RUSSIANS DID NOT SET OUT TO
[000:11:28;671] INFLUENCE OUR ELECTION, AND THEY
[000:11:29;372] DID SO.
[000:11:32;408] THIS LATEST REVELATION ABOUT THE
[000:11:33;242] WAY THEY BOUGHT ADS ON FACEBOOK,
[000:11:36;345] AND TARGETED THEM -- WE'RE GOING
[000:11:36;979] TO FIND OUT A LOT MORE.
[000:11:37;480] >> Reporter: UNTIL TODAY,
[000:11:38;948] FACEBOOK REFUSED TO REVEAL WHO
[000:11:41;384] PAID FOR POLITICAL ADS.
[000:11:43;152] ZUCKERBERG SAYS THAT WILL NOW
[000:11:44;353] CHANGE.
[000:11:45;354] >> WE CAN DO BETTER.
[000:11:45;788] >> Reporter: FACEBOOK AT FIRST
[000:11:48;324] HAD DENIED TO CONGRESS THEY HAD
[000:11:48;958] POSTED ANY ADS PAID BY THE
[000:11:50;393] RUSSIANS.
[000:11:53;362] >> WHEN I RAISED THESE ISSUES
[000:11:54;029] LAST WINTER, COULDN'T HAPPEN,
[000:11:55;631] AND THEY PRIVATELY SAID, YOU
[000:11:56;232] KNOW, IT WAS A CRAZY IDEA, AS
[000:11:56;832] WELL.
[000:11:58;734] THEY WEREN'T CRAZY IDEAS.
