[000:14:13;118] TREASURY SECRETARY STEVE MNUCHIN
[000:14:17;389] FLEW BACK TO WASHINGTON ON AN
[000:14:19;892] AIR FORCE JET, COSTING TAXPAYERS
[000:14:20;526] AT LEAST $25,000.
[000:14:22;595] AN OFFICIAL TRIP ON A GOVERNMENT
[000:14:23;529] JET TRIP TO KENTUCKY, WHERE
[000:14:25;097] MNUCHIN AND HIS WIFE VIEWED THE
[000:14:26;131] ECLIPSE IS ALSO UNDER REVIEW.
[000:14:30;302] ON TOP OF MNUCHIN'S REQUEST TO
[000:14:31;871] HAVE A GOVERNMENT PLANE FLY HIM
