[000:11:03;029] MY LEG, MY LEG, AND NO ONE COULD
[000:11:05;498] HEAR ME.
[000:11:05;931] >>SET
[000:11:07;533] >> YEAH.
[000:11:08;601] >> WHAT IS THE MOST IMPORTANT
[000:11:09;635] THING ABOUT FAMILY TO YOU?
[000:11:11;237] >> THAT WE'RE ALWAYS THERE FOR
[000:11:12;238] EACH OTHER.
[000:11:15;441] THAT WE LOVE EACH OTHER, AND WE
[000:11:16;208] TAKE CARE OF EACH OTHER.
[000:11:20;179] AND THAT WE BELIEVE IN EACH
[000:11:21;247] OTHER, NO MATTER WHAT.
[000:11:24;984] >> JORDAN AND HER WONDERFUL
[000:11:25;718] FAMILY.
[000:11:27;119] AND THERE ARE SO MANY OTHER
[000:11:28;187] FAMILIES PORING OVER THE
[000:11:29;255] FRAGMENTS OF THEIR LIVES
[000:11:30;322] TONIGHT.
[000:11:32;458] ABC'S CECILIA VEGA SPENT THE DAY
[000:11:34;026] WITH THEM.
[000:11:37;463] AND SHE HAS THEIR STORIES.
[000:11:40;299] >> Reporter: GOOD EVENING.
[000:11:41;200] THEY HAVE BEEN OUT HERE ALL DAY
[000:11:42;234] TRYING TO PIECE TOGETHER THEIR
[000:11:43;002] LIVES.
[000:11:43;436] I WANT TO SHOW YOU WHAT THEY'RE
[000:11:44;937] FINDING.
[000:11:45;471] TAKE A LOOK AT THIS.
[000:11:47;073] SOMEBODY'S KEYS THEY LEFT
[000:11:47;740] BEHIND.
[000:11:49;208] A LITTLE GIRL'S PINK TIARA.
[000:11:50;276] A LITTLE GIRL'S PANTS RIGHT
[000:11:50;976] HERE.
[000:11:51;811] THIS USED TO BE SOMEBODY'S
[000:11:52;845] HOUSE.
[000:11:54;447] NOW THEY'RE JUST MEMORIES BURIED
[000:11:55;514] HERE IN THE RUBBLE.
[000:11:58;718] HERE IN MOORE, OKLAHOMA, BLOCK
[000:12:00;286] AFTER BLOCK OF DEVASTATION.
[000:12:02;421] NEIGHBORS SIFT THROUGH MOUNDS OF
[000:12:04;023] RUBBLE TRYING TO SALVAGE WHAT
[000:12:09;462] LITTLE SURVIVED, HELPING EACH
[000:12:11;564] OTHER CRAM THEIR MEMORIES INTO
[000:12:14;333] PLASTIC BAGS.
[000:12:14;834] THIS IS THE SCENE ALL OVER THIS
[000:12:15;601] NEIGHBORHOOD.
[000:12:16;135] PEOPLE'S LIVES SCATTERED ALL
[000:12:17;002] OVER THESE PROPERTIES, THERE ARE
[000:12:18;037] TOYS, YOU CAN SEE HERE,
[000:12:20;673] STROLLERS, THEIR LIVES.
[000:12:23;409] EVEN FAMILY PHOTOS LIKE THIS, A
[000:12:26;011] FATHER AND A MOTHER AND MAYBE
[000:12:27;646] THEIR LITTLE GIRL.
[000:12:29;181] ONLINE, A WOMAN FOUND DEBRIS IN
[000:12:31;884] HER FRONT YARD 100 MILES AWAY,
[000:12:33;986] SET UP A FACEBOOK PAGE, A CYBER
[000:12:35;588] LOST AND FOUND.
[000:12:37;723] BABY PICTURES, EVEN A SONOGRAM,
[000:12:46;198] GRADUATIONS, WEDDINGS, AN "I
[000:12:47;233] LOVE YOU" TO MOM.
[000:12:48;300] THIS PHOTO OF A KISSING COUPLE
[000:12:49;068] AND A NOTE FROM THE PERSON WHO
[000:12:49;802] FOUND IT.
[000:12:50;402] "JUST HOPING THAT THE TWO IN
[000:12:51;137] THIS PHOTO ARE OKAY."
[000:12:53;606] IT IS A HOPE THAT IS UNIVERSAL.
[000:12:55;741] BUT AMID THE WRECKAGE, THERE IS
[000:12:56;776] A LOOK TO THE FUTURE.
[000:12:58;410] TONY McGEE IS DETERMINED TO
[000:13:00;546] REBUILD A HOME HE MOVED INTO
[000:13:02;648] JUST TWO WEEKS AGO.
